Algoritmo;Tamano_Problema;Semilla;Generacion;Makespan
Memetico;Mediana (50x10);7;23;3061
Memetico;Mediana (50x10);7;24;3059
Memetico;Mediana (50x10);7;25;3050
Memetico;Mediana (50x10);7;38;3042
Memetico;Mediana (50x10);7;86;3040
Memetico;Mediana (50x10);8;0;3135
Memetico;Mediana (50x10);8;1;3103
Memetico;Mediana (50x10);8;7;3094
Memetico;Mediana (50x10);8;9;3082
Memetico;Mediana (50x10);8;17;3046
Memetico;Mediana (50x10);8;30;3044
Memetico;Mediana (50x10);9;0;3135
Memetico;Mediana (50x10);9;1;3103
Memetico;Mediana (50x10);9;5;3074
Memetico;Mediana (50x10);9;6;3057
Memetico;Mediana (50x10);9;11;3056
Memetico;Mediana (50x10);9;12;3051
Memetico;Mediana (50x10);9;18;3045
Memetico;Mediana (50x10);9;19;3034
Memetico;Mediana (50x10);10;0;3135
Memetico;Mediana (50x10);10;1;3103
Memetico;Mediana (50x10);10;10;3076
Memetico;Mediana (50x10);10;28;3071
Memetico;Mediana (50x10);11;0;3135
Memetico;Mediana (50x10);11;1;3103
Memetico;Mediana (50x10);11;10;3087
Memetico;Mediana (50x10);11;11;3076
Memetico;Mediana (50x10);11;15;3063
Memetico;Mediana (50x10);11;18;3060
Memetico;Mediana (50x10);11;22;3044
Memetico;Mediana (50x10);11;23;3034
Memetico;Mediana (50x10);12;0;3135
Memetico;Mediana (50x10);12;1;3103
Memetico;Mediana (50x10);12;4;3095
Memetico;Mediana (50x10);12;5;3094
Memetico;Mediana (50x10);12;6;3086
Memetico;Mediana (50x10);12;7;3084
Memetico;Mediana (50x10);12;11;3083
Memetico;Mediana (50x10);12;13;3082
Memetico;Mediana (50x10);12;24;3079
Memetico;Mediana (50x10);12;26;3073
Memetico;Mediana (50x10);12;32;3072
Memetico;Mediana (50x10);13;0;3135
Memetico;Mediana (50x10);13;1;3103
Memetico;Mediana (50x10);13;4;3088
Memetico;Mediana (50x10);13;9;3073
Memetico;Mediana (50x10);13;10;3065
Memetico;Mediana (50x10);13;19;3062
Memetico;Mediana (50x10);14;0;3135
Memetico;Mediana (50x10);14;1;3103
Memetico;Mediana (50x10);14;14;3091
Memetico;Mediana (50x10);14;21;3061
Memetico;Mediana (50x10);14;23;3060
Memetico;Mediana (50x10);14;26;3049
